17|1|95|0.913
25|1|148|0.881
27|1|108|0.939
100|1|90|0.918
143|1|71|0.899
360|1|86|0.860
550|1|95|0.905
435|1|151|0.858
772|1|97|0.858
460|1|71|0.845
998|1|117|0.860
1010|1|112|0.933
1045|1|79|0.849
1032|1|91|0.883
1065|1|113|0.843
1074|1|101|0.878
1081|1|70|0.972
1108|1|222|0.841
1124|1|121|0.858
1145|1|73|0.849
1169|1|92|0.844
780|1|112|0.848
1293|1|99|0.900
1304|1|155|0.856
1322|1|92|0.958
1571|1|81|0.910
1848|1|86|0.843
2292|1|202|0.867
1817|1|109|0.865
2762|1|113|0.904
3296|1|73|0.859
3533|1|75|0.882
3583|1|79|0.840
3815|1|111|0.867
4355|1|114|0.942
4782|1|83|0.933
4944|1|80|0.988
4000|3850|70|0.864
3533|1285|80|0.941
274 372|1|70|0.886
823 15|1|74|0.871
58 1285|1|124|0.867
58 1150|1|84|0.840
649 326|1|76|0.844
326 823|1|75|0.862
649 1285|1|108|0.850
58 326|1|143|0.899
1304 274|1|110|0.894
772 1285|1|75|0.893
1749 326|1|74|0.851
3533|1 1285|73|0.859
3533 1|1285|73|0.973
3533 1285|1|73|0.912
