1|2300
14|231
15|524
17|104
25|168
27|115
41|72
56|192
58|563
61|131
73|188
89|93
99|431
100|98
124|98
140|80
142|151
143|79
144|203
168|161
179|159
188|105
196|75
227|370
230|85
250|98
254|170
258|100
259|297
260|98
266|88
274|886
277|115
281|272
282|75
289|92
297|281
299|73
314|80
326|654
334|175
335|192
346|157
348|344
357|186
360|100
371|117
372|171
379|146
389|100
399|108
411|246
429|220
430|151
432|117
434|80
435|176
436|152
449|83
460|84
465|253
467|87
469|88
474|140
490|72
508|130
510|80
528|158
534|210
540|125
543|184
544|171
550|105
554|73
579|82
580|118
609|74
618|77
649|301
660|74
672|96
694|137
709|85
710|71
726|108
748|123
749|116
750|73
751|90
764|305
772|113
777|99
780|132
806|98
818|82
823|428
910|73
916|93
961|182
971|311
998|136
1010|120
1030|74
1032|103
1034|72
1045|93
1048|170
1054|86
1055|230
1065|134
1074|115
1081|72
1085|79
1086|162
1092|73
1106|95
1108|264
1124|141
1133|128
1145|86
1150|430
1162|70
1169|109
1175|76
1190|74
1192|103
1195|101
1203|116
1210|79
1259|73
1262|139
1271|223
1273|115
1284|106
1285|428
1293|110
1304|181
1306|87
1322|96
1341|81
1342|168
1358|84
1397|73
1407|81
1439|75
1515|122
1528|72
1529|81
1568|76
1569|113
1571|89
1584|77
1612|107
1616|73
1646|98
1684|97
1726|97
1728|73
1729|74
1738|72
1749|314
1774|82
1779|70
1789|75
1805|91
1817|126
1821|102
1825|81
1832|100
1848|102
1873|99
1898|71
1931|70
1950|101
1961|105
1981|128
1997|78
2028|129
2068|72
2069|89
2114|96
2123|153
2259|75
2292|233
2354|72
2475|103
2478|84
2483|86
2550|77
2571|71
2580|130
2680|80
2682|88
2717|126
2733|131
2737|99
2738|75
2760|78
2762|125
2825|131
2895|77
2934|110
3235|88
3287|75
3296|85
3339|72
3352|72
3528|73
3533|85
3583|94
3815|128
3826|92
3850|102
4000|81
4292|74
4355|121
4782|89
4944|81
5255|95
5583|100
5683|73
5726|80
6245|87
6258|76
6740|75
7485|82
1 17|95
14 15|85
1 15|388
1 25|148
1 14|171
1 27|108
56 1|149
58 15|119
1 58|438
1 61|79
73 1|153
1 99|321
1 100|90
1 124|75
1 142|123
144 1|159
1 143|71
99 15|133
168 1|125
1 179|121
1 188|83
1 281|195
1 260|82
297 274|71
281 274|120
1 250|82
1 259|230
1 297|214
1 254|127
1 277|88
1 289|72
1 274|665
274 259|123
274 326|206
227 326|108
274 227|149
259 326|101
1 335|157
281 326|70
1 258|74
1 326|512
1 334|136
1 357|134
1 346|109
274 348|133
348 326|91
360 1|86
1 348|248
1 371|98
1 372|138
1 379|107
274 372|79
1 411|170
274 411|111
58 227|71
1 580|73
1 430|116
1 550|95
544 1|126
1 429|156
1 543|128
528 1|111
1 467|70
1 435|151
1 389|72
274 429|127
274 543|71
144 274|72
1 694|103
1 726|77
1 748|80
1 749|92
1 751|74
1 764|245
1 772|97
274 99|144
99 411|75
1 460|71
1 649|228
1 961|148
1 971|228
1 998|117
1 1010|112
1 823|327
58 348|102
58 99|114
58 1055|89
1 1045|79
1048 1|130
1 1055|154
99 1055|73
1032 1|91
1 465|185
1 1065|113
1 1074|101
1 1086|131
1 1081|70
823 15|85
1 1108|222
99 1108|71
1 1124|121
1 1133|99
1 1145|73
1 1150|327
1 1169|92
1 1195|75
1192 1|86
1 1203|85
1 534|140
297 1150|76
348 1150|74
1 399|80
1 780|112
1 1262|99
1 1271|146
348 1271|73
465 274|85
274 823|145
1150 1271|71
274 1150|139
1 1273|96
1 1284|87
1285 1150|79
1 1285|320
1 540|82
1 1293|99
58 1285|143
465 1285|85
1304 1|155
1285 823|133
58 1150|100
58 823|114
1 1322|92
1 1342|109
144 326|72
1 806|76
1 1515|90
1 1569|84
1 1571|81
1271 15|89
1 1612|84
274 971|104
649 1150|89
971 1150|93
649 274|126
1150 15|143
649 15|82
297 15|74
346 15|83
274 1749|79
1 1749|235
58 274|213
274 764|112
274 1108|76
1 1821|70
1832 1|80
1848 1|86
1 474|102
1749 1271|89
1 1684|73
1 1950|78
1 1961|87
1749 15|75
1 1981|100
1 2028|95
1 2114|72
2123 1150|74
1 2123|106
971 15|81
1 2292|202
58 411|73
58 971|72
326 15|139
1150 326|115
326 823|87
649 326|90
971 326|78
1 2475|83
274 534|101
99 823|86
274 1055|97
1 1817|109
274 1285|210
1 436|106
1285 543|79
649 99|77
281 58|87
649 58|108
1 2733|94
1 2717|102
1 2762|113
1 2737|70
1 2825|106
1304 274|123
1 2934|76
99 1285|80
1 508|100
58 259|79
649 1285|127
274 1086|82
99 1150|73
274 2292|78
58 326|159
326 1271|77
465 326|77
1285 326|138
1 2580|95
3296 1|73
1 3533|75
1 3583|79
432 1|78
1 3815|111
1 3826|75
1 3850|80
274 1262|83
772 1285|84
1285 3815|73
1 777|82
1 4355|114
971 429|71
1 4782|83
4944 1|80
1 5255|79
1 5583|80
1749 326|87
1 6245|70
4000 3850|70
3533 1285|80
1 58 15|92
1 99 15|107
1 274 281|84
1 274 259|88
1 274 326|161
1 259 326|81
1 348 326|72
1 274 348|105
1 274 372|70
1 274 411|70
1 274 429|93
1 58 348|76
1 58 99|80
1 823 15|74
1 274 1150|110
1 274 823|100
1 58 1285|124
1 58 1150|84
1 58 823|86
1 1285 823|103
1 649 1150|70
1 1150 15|96
1 274 764|92
1 58 274|170
1 326 15|101
1 1150 326|87
1 649 326|76
1 326 823|75
1 274 99|103
1 274 1055|78
1 274 1285|158
58 274 1285|75
649 58 1285|71
1 274 649|101
1 649 1285|108
1 58 649|89
1 58 326|143
1304 1 274|110
274 1285 326|79
1 1285 326|111
1 772 1285|75
1 274 971|75
1 1749 326|74
3533 1 1285|73
